model,v45_speedup,v45_n,ntr_speedup,ntr_n,nhw_speedup,nhw_n,nrw_speedup,nrw_n
albert,1.5220,178,4.2960,178,7.2770,178,7.4104,178
bart,1.7002,77,6.2144,77,9.4929,77,9.7331,77
bench (legacy),0.4425,670,0.8464,676,1.2809,675,1.0246,666
bert,1.7963,150,5.2575,150,7.7845,150,8.0063,150
convnext_tiny,0.6368,43,0.7190,43,1.2484,43,0.7470,43
distilbert,1.7516,77,4.0256,77,7.2829,77,7.5253,77
efficientnet_b0,0.7896,109,1.2135,109,2.3797,109,2.7759,109
gat,0.5719,3,0.6693,3,1.2567,3,1.3600,3
gin,0.6754,8,1.5484,8,2.2697,8,1.0109,8
gpt2,0.9095,80,0.3248,80,0.8549,80,1.2138,80
llama3_2_1b,0.6387,184,4.8717,184,9.8872,184,11.4862,184
mobilenet_v3_small,0.7218,63,0.9871,63,1.7888,63,2.2829,63
resnet50,0.3961,65,1.5904,65,2.7938,65,9.8135,65
resnext50,0.3086,57,1.2635,57,3.0228,57,10.4987,57
single_bench (legacy),0.3515,42,0.9553,42,2.1514,42,0.4296,42
t5,1.4769,86,4.8895,86,9.0317,86,10.2153,86
vgg16,0.2934,6,1.2104,6,3.0055,6,3.1559,6
vit_b_16,0.3403,123,2.6949,123,5.5324,123,7.8540,123
whisper_base,0.1613,75,2.1828,91,4.3336,91,5.1856,91
yolov8m,0.1927,6,4.6063,6,5.8952,6,8.3999,6
